timestamp,event_type,details,sequence_id
2024-01-01 00:00:01,> CLICK,[heading]  Flight status -> CLICK,seq_1
2024-01-01 00:00:02,> TYPE: 1234,[textbox]  Flight number -> TYPE: 1234,seq_1
2024-01-01 00:00:03,> CLICK,[button]  Search -> CLICK,seq_1
2024-01-02 00:00:01,> TYPE: Nintendo Switch,[searchbox]  Search: suggestions appear below -> TYPE: Nintendo Switch,seq_2
2024-01-02 00:00:02,> CLICK,[link]  nintendo switch -> CLICK,seq_2
2024-01-02 00:00:03,> CLICK,[img]  Nintendo Switch with Neon Blue and Neon Red Joy-Co... -> CLICK,seq_2
2024-01-02 00:00:04,> CLICK,[button]  pickup - unselected - 1 of 3 - Ready within 2 hour... -> CLICK,seq_2
2024-01-02 00:00:05,> CLICK,[button]  Check other stores -> CLICK,seq_2
2024-01-03 00:00:01,> CLICK,[link]  Solar Roof -> CLICK,seq_3
2024-01-03 00:00:02,> CLICK,[link]  Schedule a virtual consultation -> CLICK,seq_3
2024-01-03 00:00:03,> TYPE: James,[textbox]  First Name -> TYPE: James,seq_3
2024-01-03 00:00:04,> TYPE: Smith,[div]   -> TYPE: Smith,seq_3
2024-01-03 00:00:05,> TYPE: 123st rd,[input]   -> TYPE: 123st rd,seq_3
2024-01-03 00:00:06,> TYPE: abc@abc.com,[textbox]  Email Address -> TYPE: abc@abc.com,seq_3
2024-01-03 00:00:07,> CLICK,[checkbox]  Solar Roof -> CLICK,seq_3
2024-01-03 00:00:08,> HOVER,[button]  Submit -> HOVER,seq_3
2024-01-04 00:00:01,> CLICK,[link]  Powerwall -> CLICK,seq_4
2024-01-04 00:00:02,> CLICK,[link]  Order Now -> CLICK,seq_4
2024-01-04 00:00:03,"> TYPE: 7528 East Mechanic Ave. Fargo, ND 58102","[textbox]  Shipping Address -> TYPE: 7528 East Mechanic Ave. Fargo, ND 58102",seq_4
2024-01-04 00:00:04,> ENTER,[textbox]  Shipping Address -> ENTER,seq_4
2024-01-04 00:00:05,> TYPE: 200,[spinbutton]  Home Square Footage -> TYPE: 200,seq_4
2024-01-04 00:00:06,Story,[combobox]  Number of Stories -> SELECT: Two-Story,seq_4
2024-01-04 00:00:07,> CLICK,[button]  Next -> CLICK,seq_4
2024-01-04 00:00:08,> CLICK,[button]  Next -> CLICK,seq_4
2024-01-04 00:00:09,> CLICK,[tab]  Purchase Price -> CLICK,seq_4
2024-01-05 00:00:01,> CLICK,[link]  Model Y -> CLICK,seq_5
2024-01-05 00:00:02,> CLICK,[link]  View Inventory -> CLICK,seq_5
2024-01-05 00:00:03,> CLICK,[image]   -> CLICK,seq_5
2024-01-05 00:00:04,> SELECT: Price : low to high,[combobox]  Sort By -> SELECT: Price : low to high,seq_5
2024-01-05 00:00:05,> TYPE: 94043,[textbox]  Registration Zip Code Where you will register the ... -> TYPE: 94043,seq_5
2024-01-06 00:00:01,> CLICK,[img]  header.burgerMenu.title -> CLICK,seq_6
